0, 0.008956
1, 0.000000
2, 0.000000
3, 0.001163
4, 0.003874
5, 0.000000
6, 0.000000
7, 0.000000
8, 0.001551
9, 0.006000
10, 0.000000
11, 0.000000
12, 0.000000
13, 0.000000
14, 0.000000
15, 0.000000
16, 0.000000
17, 0.009680
18, 0.000000
19, 0.000000
20, 0.000000
21, 0.000000
22, 0.000000
23, 0.000000
24, 0.000053
25, 0.000000
26, 0.000000
27, 0.000000
28, 0.000000
29, 0.000000
30, 0.000000
31, 0.000000
32, 0.000000
33, 0.000000
34, 0.000000
35, 0.000000
36, 0.000000
37, 0.000000
38, 0.003996
39, 0.000000
40, 0.000000
41, 0.000000
42, 0.000000
43, 0.003024
44, 0.000000
45, 0.000000
46, 0.000000
47, 0.000000
48, 0.000000
49, 0.000000
50, 0.000000
51, 0.000000
52, 0.013418
53, 0.000000
54, 0.000000
55, 0.000000
56, 0.000000
57, 0.009362
58, 0.000000
59, 0.000000
60, 0.000000
61, 0.099995
62, 0.012075
63, 0.005314
64, 0.039097
65, 0.000000
66, 0.006739
67, 0.000000
68, 0.003245
69, 0.000000
70, 0.000000
71, 0.000000
72, 0.000000
73, 0.000000
74, 0.000000
75, 0.000000
76, 0.003121
77, 0.005423
78, 0.000000
79, 0.039381
80, 0.008328
81, 0.021073
82, 0.000000
83, 0.000000
84, 0.000000
85, 0.000000
86, 0.000000
87, 0.075178
88, 0.000000
89, 0.224380
90, 0.002123
91, 0.000000
92, 0.000000
93, 0.000000
94, 0.000000
95, 0.000000
96, 0.000000
97, 0.000000
98, 0.000000
99, 0.021523
100, 0.000000
101, 0.000000
